Author,Date,Atwood/ Original Reference,Alternate Ref / Link,Source,Latitude,Longitude,C Stock (Mg km-2),Depth (m),TOC %,TC%,TOC (Non %),Units,Dry Bulk Density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stein,1989,Stein_et_al_1989_https://doi.org/10.1594/PANGAEA.744874_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.964",Atwood 2020,70.458,17.5,8558.150183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stein,1989,Stein_et_al_1989_https://doi.org/10.1594/PANGAEA.744874_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.964",Atwood 2020,70.4572,17.5,7529.397639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,89.9833,-162.6309965,9017.59712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,88.9938,-75.6667,7126.23583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,88.9833,-162.6309968,9987.02974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,88.8667,-162.6309982,9413.31091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,88.8,-162.6309983,7126.23583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,88.7808,-75.6667,4736.88005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,88.7348,-75.6667,8610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,88.512,-75.6667,6206.16583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
