"","C_total","C_remin","time"
"1",5.489e+10,401794800,1
"2",54410134120,297685176,2
"3",54079492034.4,238342690.32,3
"4",53833907511.608,204517473.4824,4
"5",53636805799.6166,185237099.884968,5
"6",53467339289.7814,174247286.934432,6
"7",53313624845.1754,167983093.552626,7
"8",53168889077.75,164412503.324997,8
"9",53029271156.3175,162377266.895248,9
"10",52892570407.101,161217182.130291,10
"11",52757532446.0476,160555933.814266,11
"12",52623442274.2471,160179022.274132,12
"13",52489892342.3209,159964182.696255,13
"14",52356650347.1229,159841724.136865,14
"15",52223583875.86,159771922.758013,15
"16",52090617453.2402,159732135.972068,16
"17",51957708058.3469,159709457.504079,17
"18",51824831169.2578,159696530.777325,18
"19",51691972808.4769,159689162.543075,19
"20",51559125008.8318,159684962.649553,20
"21",51426283229.0341,159682568.710245,21
"22",51293444880.5495,159681204.16484,22
"23",51160608487.9132,159680426.373959,23
"24",51027773210.1105,159679983.033156,24
"25",50894938567.763,159679730.328899,25
"26",50762104287.6249,159679586.287473,26
"27",50629270213.9462,159679504.183859,27
"28",50496436257.9493,159679457.3848,28
"29",50363602369.0311,159679430.709336,29
"30",50230768518.3477,159679415.504321,30
"31",50097934689.4582,159679406.837463,31
"32",49965100872.9912,159679401.897354,32
"33",49832267063.605,159679399.081492,33
"34",49699433258.2548,159679397.47645,34
"35",49566599455.2053,159679396.561577,35
"36",49433765653.467,159679396.040099,36
"37",49300931852.4762,159679395.742856,37
"38",49168098051.9114,159679395.573428,38
"39",49035264251.5895,159679395.476854,39
"40",48902430451.406,159679395.421807,40
"41",48769596651.3014,159679395.39043,41
"42",48636762851.2418,159679395.372545,42
"43",48503929051.2078,159679395.362351,43
"44",48371095251.1885,159679395.35654,44
"45",48238261451.1774,159679395.353228,45
"46",48105427651.1711,159679395.35134,46
"47",47972593851.1676,159679395.350264,47
"48",47839760051.1655,159679395.34965,48
"49",47706926251.1644,159679395.349301,49
"50",47574092451.1637,159679395.349101,50
